t,s,i,r
1,-301,-301,-301
2,-301,-301,-301
3,-301,-301,-301
4,-301,-301,-301
5,-301,-301,-301
6,-301,-301,-301
7,-301,-301,-301
8,-301,-301,-301
9,-301,-301,-301
10,-301,-301,-301
11,-301,-301,-301
12,-301,-301,-301
13,-302,-302,-302
14,-302,-302,-302
15,-302,-302,-302
16,-302,-302,-302
17,-302,-302,-302
18,-302,-302,-302
19,-302,-302,-302
20,-303,-303,-303
21,-303,-303,-303
22,-303,-303,-303
23,-303,-303,-303
24,-303,-303,-303
25,-304,-304,-304
26,-304,-304,-304
27,-304,-304,-304
28,-304,-304,-304
29,-306,-306,-306
30,-307,-307,-307
31,-307,-307,-307
32,-308,-308,-308
33,-308,-308,-308
34,-308,-308,-308
35,-309,-309,-309
36,-309,-309,-309
37,-309,-309,-309
38,-309,-309,-309
39,-309,-309,-309
40,-309,-309,-309
41,-309,-309,-309
42,-309,-309,-309
43,-309,-309,-309
44,-309,-309,-309
45,-309,-309,-309
46,-309,-309,-309
47,-309,-309,-309
48,-310,-310,-310
49,-310,-310,-310
50,-312,-312,-312
51,-312,-312,-312
52,-312,-312,-312
53,-312,-312,-312
54,-313,-313,-313
55,-313,-313,-313
56,-313,-313,-313
57,-313,-313,-313
58,-314,-314,-314
59,-314,-314,-314
60,-314,-314,-314
61,-315,-315,-315
62,-315,-315,-315
63,-315,-315,-315
64,-315,-315,-315
65,-315,-315,-315
66,-315,-315,-315
67,-315,-315,-315
68,-315,-315,-315
69,-315,-315,-315
70,-315,-315,-315
71,-315,-315,-315
72,-315,-315,-315
73,-315,-315,-315
74,-315,-315,-315
75,-315,-315,-315
76,-315,-315,-315
77,-315,-315,-315
78,-315,-315,-315
79,-315,-315,-315
80,-315,-315,-315
81,-315,-315,-315
82,-315,-315,-315
83,-315,-315,-315
84,-315,-315,-315
85,-315,-315,-315
86,-315,-315,-315
87,-315,-315,-315
88,-315,-315,-315
89,-315,-315,-315
90,-315,-315,-315
91,-315,-315,-315
92,-316,-316,-316
93,-316,-316,-316
94,-316,-316,-316
95,-316,-316,-316
96,-316,-316,-316
97,-316,-316,-316
98,-316,-316,-316
99,-316,-316,-316
100,-316,-316,-316
101,-316,-316,-316
102,-316,-316,-316
103,-316,-316,-316
104,-316,-316,-316
105,-316,-316,-316
106,-316,-316,-316
107,-316,-316,-316
108,-316,-316,-316
109,-316,-316,-316
110,-316,-316,-316
111,-316,-316,-316
112,-316,-316,-316
113,-316,-316,-316
114,-316,-316,-316
115,-316,-316,-316
116,-316,-316,-316
117,-316,-316,-316
118,-316,-316,-316
119,-316,-316,-316
120,-316,-316,-316
121,-316,-316,-316
122,-316,-316,-316
123,-316,-316,-316
124,-316,-316,-316
125,-316,-316,-316
126,-316,-316,-316
127,-316,-316,-316
128,-316,-316,-316
129,-316,-316,-316
130,-316,-316,-316
131,-316,-316,-316
132,-316,-316,-316
133,-316,-316,-316
134,-316,-316,-316
135,-316,-316,-316
136,-316,-316,-316
137,-316,-316,-316
138,-316,-316,-316
139,-316,-316,-316
140,-316,-316,-316
141,-316,-316,-316
142,-316,-316,-316
143,-316,-316,-316
144,-316,-316,-316
145,-316,-316,-316
146,-316,-316,-316
147,-316,-316,-316
148,-316,-316,-316
149,-316,-316,-316
150,-316,-316,-316
151,-316,-316,-316
152,-316,-316,-316
153,-316,-316,-316
154,-316,-316,-316
155,-316,-316,-316
156,-316,-316,-316
157,-316,-316,-316
158,-316,-316,-316
159,-316,-316,-316
160,-316,-316,-316
161,-316,-316,-316
162,-316,-316,-316
163,-316,-316,-316
164,-316,-316,-316
165,-316,-316,-316
166,-316,-316,-316
167,-316,-316,-316
168,-316,-316,-316
169,-316,-316,-316
170,-316,-316,-316
171,-316,-316,-316
172,-316,-316,-316
173,-316,-316,-316
174,-316,-316,-316
175,-316,-316,-316
176,-316,-316,-316
177,-317,-317,-317
178,-317,-317,-317
179,-317,-317,-317
180,-317,-317,-317
181,-317,-317,-317
182,-317,-317,-317
183,-317,-317,-317
184,-317,-317,-317
185,-317,-317,-317
186,-317,-317,-317
187,-317,-317,-317
188,-317,-317,-317
189,-317,-317,-317
